src/agents/base.py:2: unused import 'Not' (90% confidence, 1 line)
src/agents/PPOAgent.py:2: unused import 'Value' (90% confidence, 1 line)
src/agents/PPOAgent.py:3: unused import 'queue' (90% confidence, 1 line)
src/agents/PPOAgent.py:20: unused import 'agent_schema' (90% confidence, 1 line)
src/agents/PPOAgent.py:58: unused attribute 'save_episodes' (60% confidence, 1 line)
src/agents/PPOAgent.py:63: unused attribute 'atol' (60% confidence, 1 line)
src/agents/PPOAgent.py:64: unused attribute 'store_from_safe' (60% confidence, 1 line)
src/agents/PPOAgent.py:163: unused variable 'pi_info_old' (60% confidence, 1 line)
src/agents/PPOAgent.py:165: unused variable 'v_l_old' (60% confidence, 1 line)
src/agents/random_agent.py:1: unused import 'json' (90% confidence, 1 line)
src/agents/random_agent.py:2: unused import 'time' (90% confidence, 1 line)
src/agents/SACAgent.py:9: unused import 'Value' (90% confidence, 1 line)
src/agents/SACAgent.py:10: unused import 'queue' (90% confidence, 1 line)
src/agents/SACAgent.py:20: unused import 'VAE' (90% confidence, 1 line)
src/agents/SACAgent.py:21: unused import 'DebuggingRL' (90% confidence, 1 line)
src/agents/SACAgent.py:21: unused import 'RecordExperience' (90% confidence, 1 line)
src/agents/SACAgent.py:25: unused import 'agent_schema' (90% confidence, 1 line)
src/agents/SACAgent.py:66: unused attribute 'save_episodes' (60% confidence, 1 line)
src/agents/SACAgent.py:71: unused attribute 'atol' (60% confidence, 1 line)
src/agents/SACAgent.py:72: unused attribute 'store_from_safe' (60% confidence, 1 line)
src/buffers/PPOBuffer.py:118: unused attribute 'weights' (60% confidence, 1 line)
src/buffers/SimpleReplayBuffer.py:4: unused import 'Tuple' (90% confidence, 1 line)
src/config/schema.py:1: unused import 'CommaSeparated' (90% confidence, 1 line)
src/config/schema.py:31: unused variable 'encoder_schema' (60% confidence, 1 line)
src/config/schema.py:54: unused variable 'agent_schema' (60% confidence, 1 line)
src/config/schema.py:75: unused variable 'runner_schema' (60% confidence, 1 line)
src/config/schema.py:94: unused variable 'env_schema' (60% confidence, 1 line)
src/config/schema.py:102: unused variable 'replay_buffer_schema' (60% confidence, 1 line)
src/config/schema.py:107: unused variable 'cv_trainer_schema' (60% confidence, 1 line)
src/config/yamlize.py:83: unused attribute 'instantiate_from_config' (60% confidence, 1 line)
src/config/yamlize.py:92: unused variable 'runner' (60% confidence, 1 line)
src/encoders/base.py:2: unused import 'Not' (90% confidence, 1 line)
src/encoders/base.py:9: unused variable 'image' (100% confidence, 1 line)
src/encoders/base.py:13: unused variable 'image' (100% confidence, 1 line)
src/encoders/base.py:17: unused variable 'batch_of_images' (100% confidence, 1 line)
src/encoders/dataloaders/expert_demo_dataloader.py:2: unused import 'Image' (90% confidence, 1 line)
src/encoders/dataloaders/expert_demo_dataloader.py:7: unused import 'pack_padded_sequence' (90% confidence, 1 line)
src/encoders/dataloaders/expert_demo_dataloader.py:7: unused import 'pad_packed_sequence' (90% confidence, 1 line)
src/encoders/dataloaders/expert_demo_dataloader.py:7: unused import 'pad_sequence' (90% confidence, 1 line)
src/encoders/dataloaders/expert_demo_dataloader.py:8: unused import 'AdamW' (90% confidence, 1 line)
src/encoders/dataloaders/expert_demo_dataloader.py:9: unused import 'plt' (90% confidence, 1 line)
src/encoders/transforms/preprocessing.py:2: unused import 'Image' (90% confidence, 1 line)
src/encoders/vae.py:29: unused attribute 'im_c' (60% confidence, 1 line)
src/encoders/vae.py:30: unused attribute 'im_h' (60% confidence, 1 line)
src/encoders/vae.py:31: unused attribute 'im_w' (60% confidence, 1 line)
src/encoders/vae.py:127: unused variable 'batch_of_images' (100% confidence, 1 line)
src/loggers/base.py:17: unused variable 'logging_data' (100% confidence, 1 line)
src/loggers/base.py:20: unused variable 'metric_data' (100% confidence, 1 line)
src/loggers/base.py:23: unused variable 'metric_data' (100% confidence, 1 line)
src/networks/critic.py:3: unused import 'MLPCategoricalActor' (90% confidence, 1 line)
src/networks/critic.py:3: unused import 'MLPGaussianActor' (90% confidence, 1 line)
src/networks/critic.py:167: unused variable 'advantage_only' (100% confidence, 1 line)
src/runners/ModelFreeRunner.py:1: unused import 'json' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:2: unused import 'time' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:3: unused import 'json_dump' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:10: unused import 'DebuggingRL' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:16: unused import 'agent_schema' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:18: unused import 'replay_buffer_schema' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:20: unused import 'encoder_schema' (90% confidence, 1 line)
src/runners/ModelFreeRunner.py:139: unused variable 'total_reward' (60% confidence, 1 line)
